	sex	Staining_Red_DNP_(High)_1X	Staining_Red_DNP_(High)_1Y	Staining_Purple_DNP_(Bgnd)_1X	Staining_Purple_DNP_(Bgnd)_1Y	Staining_Green_Biotin_(High)_1X	Staining_Green_Biotin_(High)_1Y	Staining_Blue_Biotin_(Bgnd)_1X	Staining_Blue_Biotin_(Bgnd)_1Y	Extension_Red_Extension_(A)_1X	Extension_Red_Extension_(A)_1Y	Extension_Purple_Extension_(T)_1X	Extension_Purple_Extension_(T)_1Y	Extension_Green_Extension_(C)_1X	Extension_Green_Extension_(C)_1Y	Extension_Blue_Extension_(G)_1X	Extension_Blue_Extension_(G)_1Y	Target_Removal_Green_Target_Removal_1X	Target_Removal_Green_Target_Removal_1Y	Hybridization_Green_Hyb_(High)_1X	Hybridization_Green_Hyb_(High)_1Y	Hybridization_Blue_Hyb_(Medium)_1X	Hybridization_Blue_Hyb_(Medium)_1Y	Hybridization_Black_Hyb_(Low)_1X	Hybridization_Black_Hyb_(Low)_1Y	Stringency_Red_String_(PM)_1X	Stringency_Red_String_(PM)_1Y	Stringency_Purple_String_(MM)_1X	Stringency_Purple_String_(MM)_1Y	Non-Specific_Binding_Red_NSB_(Bgnd)_1X	Non-Specific_Binding_Red_NSB_(Bgnd)_1Y	Non-Specific_Binding_Purple_NSB_(Bgnd)_1X	Non-Specific_Binding_Purple_NSB_(Bgnd)_1Y	Non-Specific_Binding_Blue_NSB_(Bgnd)_1X	Non-Specific_Binding_Blue_NSB_(Bgnd)_1Y	Non-Specific_Binding_Green_NSB_(Bgnd)_1X	Non-Specific_Binding_Green_NSB_(Bgnd)_1Y	Non-Polymorphic_Red_NP_(A)_1X	Non-Polymorphic_Red_NP_(A)_1Y	Non-Polymorphic_Purple_NP_(T)_1X	Non-Polymorphic_Purple_NP_(T)_1Y	Non-Polymorphic_Green_NP_(C)_1X	Non-Polymorphic_Green_NP_(C)_1Y	Non-Polymorphic_Blue_NP_(G)_1X	Non-Polymorphic_Blue_NP_(G)_1Y	Restoration_Green_Restore_1X	Restoration_Green_Restore_1Y
WG4564689-DNA-A03-1	M	46157	430	440	295	1129	11391	538	363	35871	489	41232	373	1347	11642	1765	11342	970	317	1838	10764	556	7051	1464	2322	24947	420	6770	318	447	297	424	274	454	300	406	297	11216	339	16500	368	736	5524	683	4829	473	332
WG4564689-DNA-F06-2	F	48627	652	780	389	1439	17474	969	642	41017	673	44275	533	1826	18218	2245	18063	1369	427	2279	17474	945	11138	2360	3625	29557	585	10127	394	764	375	755	396	771	388	793	378	14719	497	19223	492	1028	9616	921	7783	735	438
WG4564689-DNA-C07-3	M	45786	565	608	343	1338	16081	924	564	37448	604	38837	503	1643	15535	2055	15232	1080	335	1950	15035	750	9538	1918	3343	24979	585	7481	375	558	326	536	293	566	291	571	296	12236	406	16334	409	787	8081	939	7159	557	386
WG4564689-DNA-H05-4	F	53772	863	785	598	1475	20697	1153	779	49192	929	52375	650	2229	21159	2867	20330	1912	619	2882	19344	1037	12578	3133	3970	34665	802	8828	585	718	523	619	536	799	515	703	528	19243	657	20654	625	1078	10187	1110	8189	755	632
WG4564689-DNA-D03-5	M	47261	521	688	402	1200	12573	562	405	43453	666	46741	457	1749	15531	2351	15096	1327	436	2215	14301	822	9394	2157	3180	29802	580	9969	415	644	398	538	373	613	421	671	399	15182	484	19706	489	852	7671	875	6472	624	481
WG4564689-DNA-H10-6	F	51784	887	797	606	1626	19426	981	784	47927	1007	50187	828	2221	23144	2758	22790	1886	700	2679	21846	1076	14246	3102	4402	34602	916	10013	733	867	596	838	604	875	629	789	666	18344	758	23295	733	1162	12098	1288	10045	870	732
WG4564689-DNA-B03-7	F	47403	469	560	318	1218	11300	576	374	40115	504	44392	378	1573	12814	1999	12564	1110	332	1974	11926	687	7738	1717	2646	27684	463	8668	293	519	294	460	338	488	315	511	323	13411	403	17689	395	876	6431	860	5474	483	384
WG4564689-DNA-H09-8	M	50171	685	801	633	1517	17449	936	688	45246	925	48749	745	2068	20136	2651	19389	1724	655	2454	18582	1020	12316	2668	3780	32360	811	8097	680	888	652	833	525	857	610	823	566	16728	675	22128	679	1158	10123	1194	8611	849	740
WG4564689-DNA-G04-9	M	50391	781	672	509	1492	16949	705	673	47378	752	48948	613	2300	18480	2799	18297	1532	484	2571	17116	938	11120	2758	3902	30857	670	8617	506	710	499	573	549	643	498	677	472	16145	583	21446	601	848	9302	1072	8262	674	598
WG4564689-DNA-F05-10	M	49344	738	686	444	1393	16478	974	671	41339	683	44036	574	1676	15709	2012	15253	1258	516	2220	15176	939	9938	2068	3218	29480	673	7929	451	670	441	687	446	652	482	666	447	15468	534	18146	560	999	8262	983	7007	673	504
